x1,x2,cls
-2.427235936,1.965983768,1
2.382604593,2.2566141,0
-2.680667725,2.37997903,1
-2.620277074,2.913823024,0
1.513792054,-2.312649893,0
2.460893719,-2.295288709,1
0.921994546,-2.685111894,0
-0.505379219,-2.301416737,0
-0.279911238,-0.52086949,0
-1.742365498,2.969097822,1
2.617187594,0.929069339,0
1.957733382,2.459680381,1
2.178196978,-2.445138532,0
-0.736680073,-1.38304357,0
-0.587214542,2.287456067,1
2.252204265,1.081802613,0
0.464910597,1.580493407,0
-2.836299822,0.786740205,1
1.755788315,0.780541859,0
-2.926975904,1.583027653,1
